Price,Close,High,Low,Open,Volume,return_1d,return_3d,return_5d,vol_10d,vol_20d,ma_10d,ma_20d,target
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,,,,,,,,
Date,,,,,,,,,,,,,
2017-02-01,19890.939453125,19967.73046875,19845.990234375,19923.810546875,426670000,0.0013516657237355734,-0.010094658687803237,-0.008848206198357467,0.004721400279238065,0.0039004097995804458,19926.15703125,19908.6115234375,0
2017-02-02,19884.91015625,19922.75,19831.08984375,19858.33984375,347220000,-0.00030311775314628697,-0.004317266945578324,-0.01074578207260124,0.004512741267441484,0.003835825716667285,19941.4080078125,19905.7490234375,1
2017-02-03,20071.4609375,20081.48046875,19964.2109375,19964.2109375,344220000,0.009381524974673594,0.010439496366617895,-0.001110709889128314,0.005152858679298189,0.004349558254228817,19965.8291015625,19914.3576171875,0
2017-02-06,20052.419921875,20094.94921875,20002.810546875,20025.609375,281720000,-0.0009486611704195846,0.00811829270963016,0.004070328469248485,0.00513016260396096,0.004308208356604376,19991.0861328125,19918.78857421875,1
2017-02-07,20090.2890625,20155.349609375,20068.6796875,20107.619140625,279670000,0.0018885072610956843,0.010328379893909112,0.011387343720717702,0.004901797055372928,0.004213382934116558,20008.8439453125,19928.933984375,0
2017-02-08,20054.33984375,20068.279296875,20015.330078125,20049.2890625,280410000,-0.0017893828524897515,-0.000853006854025895,0.008214815142847831,0.004298287575698762,0.004218556559269853,20007.426953125,19938.87451171875,1
2017-02-09,20172.400390625,20206.359375,20061.73046875,20061.73046875,325310000,0.005887032322920982,0.005983341123787067,0.014457708489300725,0.004678974555572611,0.004274051123457541,20014.5759765625,19949.78056640625,1
2017-02-10,20269.369140625,20298.2109375,20204.759765625,20211.23046875,312230000,0.004807001057001825,0.008913763140385278,0.009860179273509795,0.004871515652044096,0.004280534683311239,20032.1349609375,19968.6990234375,1
2017-02-13,20412.16015625,20441.48046875,20322.94921875,20338.5390625,314620000,0.007044669946772553,0.017842537589763507,0.017939991072227768,0.004539916186996966,0.004478691950309959,20076.237890625,19995.0205078125,1
2017-02-14,20504.41015625,20504.41015625,20374.01953125,20374.220703125,356580000,0.004519364892977995,0.016458614701069463,0.020612998273030758,0.0037125458400431846,0.004414313574606377,20140.269921875,20028.9025390625,1
2017-02-15,20611.859375,20620.44921875,20496.029296875,20504.26953125,384380000,0.005240297961814244,0.0168969360614466,0.02780044297612494,0.0037029540949218252,0.004430514736164941,20212.3619140625,20069.25947265625,1
2017-02-16,20619.76953125,20639.869140625,20556.830078125,20627.310546875,354120000,0.000383767233517629,0.010170867434450948,0.02217728837233035,0.0036286963773031603,0.004247270142661129,20285.8478515625,20113.6279296875,1
2017-02-17,20624.05078125,20624.05078125,20532.609375,20564.130859375,340620000,0.00020762841182642156,0.005834872795086543,0.017498405508542758,0.003143474272705692,0.004223735637309967,20341.1068359375,20153.46796875,1
2017-02-21,20743.0,20757.640625,20663.369140625,20663.4296875,336880000,0.005767500284577398,0.0063623869450157855,0.01620797804923657,0.0029850803758845555,0.0042267280653134915,20410.16484375,20200.62548828125,1
2017-02-22,20775.599609375,20781.58984375,20692.390625,20715.41015625,310530000,0.0015715956889070792,0.007557314250716152,0.013225908526919516,0.0030044779184433207,0.004154071969450663,20478.6958984375,20243.769921875,1
2017-02-23,20810.3203125,20840.69921875,20746.41015625,20817.2109375,302110000,0.0016712250802779494,0.009031665661885624,0.00962848299560548,0.0025022856849008204,0.003932209307587317,20554.2939453125,20280.86044921875,1
2017-02-24,20821.759765625,20821.759765625,20733.94921875,20751.91015625,292540000,0.0005497009634267691,0.003796932248228302,0.0097959501472058,0.0025550016519541047,0.003942388008315661,20619.2298828125,20316.9029296875,1
2017-02-27,20837.439453125,20851.330078125,20774.759765625,20808.7109375,256540000,0.0007530433391074176,0.002976561202214123,0.010346593602698073,0.0025889000044679784,0.0039186663860442,20676.0369140625,20354.0859375,0
2017-02-28,20812.240234375,20841.240234375,20781.2109375,20833.880859375,339210000,-0.001209324149768376,9.225816067082171e-05,0.003338004838981723,0.0023824712095421143,0.0035310408233370427,20716.044921875,20396.14140625,1
2017-03-01,21115.55078125,21169.109375,20957.2890625,20957.2890625,392820000,0.014573661626970491,0.014109807188824819,0.016363001707137004,0.004640674300243536,0.004091975597663673,20777.158984375,20458.714453125,0
2017-03-02,21002.970703125,21129.19921875,20996.609375,21128.91015625,319910000,-0.005331619302346935,0.007943934300199018,0.009257444754912303,0.005228183932231156,0.004492726799526275,20816.2701171875,20514.316015625,1
2017-03-03,21005.7109375,21039.9609375,20953.859375,21008.75,254420000,0.0001304688947927346,0.009296005665235807,0.008834564126452449,0.005236918571348521,0.0044783270702704716,20854.8642578125,20570.3560546875,0
2017-03-06,20954.33984375,20986.4296875,20912.109375,20955.7109375,266620000,-0.0024455774861821267,-0.007634701986706016,0.005610113031784714,0.00539522495878952,0.004335845977263579,20887.8931640625,20614.5,0
2017-03-07,20924.759765625,20970.5390625,20901.259765625,20934.890625,274630000,-0.0014116444777344528,-0.0037238035802412695,0.005406411322513627,0.005255346981425754,0.0043545323110409095,20906.069140625,20658.1169921875,0
2017-03-08,20855.73046875,20951.439453125,20835.580078125,20940.439453125,296780000,-0.0032989290031611995,-0.007139985368562307,-0.01230469028213621,0.005408133635716374,0.004521611341804456,20914.0822265625,20696.3890625,1
